,dhlabid,urn,lenker,title,authors,oaiid,city,year,publisher,langs,subjects,ddc,genres,literaryform,kristin,sesamid,isbn10,timestamp,doctype,ocr_creator,ocr_timestamp
9966,100105139,URN:NBN:no-nb_digibok_2012071806020,Vis element,Hønemor og dei tolv små kjuklingane,"Høydal , Aslaug / Sanden , Solveig Muren / Muren Sanden , Solveig",,[Larvik],1984,Norsk barneblad,nno,,839.823,fiction,Skjønnlitteratur,,,,,,,
9967,100110100,URN:NBN:no-nb_digibok_2012091806004,Vis element,Plommetreet,"Sande , Hans / Hagen , Olav",,Oslo,1984,Gyldendal,nno,barnebøker / fantasi / skjønnlitteratur / biletbøker,839.823,fiction,Skjønnlitteratur,,,,,,,
9968,100138240,URN:NBN:no-nb_digibok_2012112305020,Vis element,Heia oldemor! : ei heilt vill forteljing,"Moe , Ingvar / Ekman , Fam",,Oslo,1984,Samlaget,nno,barnebøker / nonsens / skjønnlitteratur,839.823,fiction,Skjønnlitteratur,,,,,,,
9969,100122848,URN:NBN:no-nb_digibok_2012112306017,Vis element,Tjo-hei,"Belsvik , Rune / Morisse , Tor",,Oslo,1984,Samlaget,nno,skjønnlitteratur/barn-ungdom / skjønnlitteratur / barnebøker,839.823,fiction,Skjønnlitteratur,,,,,,,
9970,100127632,URN:NBN:no-nb_digibok_2012112707110,Vis element,Kari Trestakk,"Floden , Halvor / Valberg , Bård E.",,Aurdal,1984,Paul T. Dreyer,nno,barnebøker / funksjonshemmede / klassiske,839.823,fiction,Skjønnlitteratur,,,,,,,
9971,100127647,URN:NBN:no-nb_digibok_2012112707130,Vis element,Godt mot : noveller for barn,"Bjørlykke , Oskar Stein / Heiberg , Tom",,Oslo,1984,Samlaget,nno,skjønnlitteratur/barn-ungdom / barnelitteratur / noveller / barnebøker / fortellinger,839.823,fiction,Skjønnlitteratur,,,,,,,
9972,100128606,URN:NBN:no-nb_digibok_2012121007120,Vis element,Gro flytter,"Tjeltveit , Njål / Galdal , Margit",,[Larvik],1984,Norsk barneblad,nno,skjønnlitteratur/barn-ungdom / ungdomsbøker / flytting / pendling,839.823,fiction,Skjønnlitteratur,,,,,,,
9973,100126278,URN:NBN:no-nb_digibok_2012121705121,Vis element,Hei sveis!,"Eggen , Arnljot / Førde , Runa Karin",,[Oslo],1984,Cappelen,nno,barnerim / barnesanger / barnebøker / dikt / barnepoesi,839.821,fiction,Skjønnlitteratur,,,,,,,
9974,100131698,URN:NBN:no-nb_digibok_2013012406048,Vis element,Munnspelet,"Hallén , Arnold / Tveit , Ingegerd / Tveit Ingegerd",,Oslo,1984,Samlaget,nno,Lettleste bøker / lettlesningsbøker / barnebøker / nasking / skjønnlitteratur,839.823,fiction,Skjønnlitteratur,,,,,,,
9975,100133137,URN:NBN:no-nb_digibok_2013013106113,Vis element,Handa i buret,"Bjugn , Sissel Solbjørg / Fyri , Dag",,Oslo,1984,Samlaget,nno,lettlesningsbøker,839.823,fiction,Skjønnlitteratur,,,,,,,
9976,100139789,URN:NBN:no-nb_digibok_2013031906078,Vis element,Folket i dei kvite båtane,"Heggland , Johannes / Sanden , Solveig Muren",,[Larvik],1984,Norsk barneblads forl.,nno,Bronsealderen / Steinalderen / norge / historie / -800 / fortellinger,,,Skjønn,Skjønn,,,,,,
9977,100138185,URN:NBN:no-nb_digibok_2013040807017,Vis element,Usynlege fiendar,"Donner , John / Hansen , Øyvind .",,Oslo,1984,Samlaget,nno,barnebøker / kriminallitteratur,839.823,fiction,Skjønnlitteratur,,,,,,,
9978,100145056,URN:NBN:no-nb_digibok_2013040807098,Vis element,Elden : andre soga om Kari Trestakk,"Floden , Halvor / Valberg , Bård E.",,Aurdal,1984,Paul T. Dreyer,nno,,839.823,fiction,Skjønnlitteratur,,,,,,,
9979,100145126,URN:NBN:no-nb_digibok_2013041007016,Vis element,Dag etter dag etter dag,"Åsen , Kjell / Bergseth , Aashild Havåg",,[Larvik],1984,Norsk barneblad,nno,skjønnlitteratur/voksen,839.823,fiction,Skjønnlitteratur,,,,,,,
9980,100145293,URN:NBN:no-nb_digibok_2013041506170,Vis element,Mellom sol og måne : dikt for barn,"Tusvik , Marit / Tusvik , Marit",,Oslo,1984,Samlaget,nno,barnedikt / barnebøker / billedbøker / dikt / barnepoesi / barn / skjønnlitteratur,839.821,fiction,Skjønnlitteratur,,,,,,,
9981,100149911,URN:NBN:no-nb_digibok_2013061708100,Vis element,Etter den store krigen,"Tveit , Tore / Valberg , Bård E.",,Oslo,1984,Samlaget,nno,skjønnlitteratur/barn-ungdom,839.823,fiction,Skjønnlitteratur,,,,,,,
9982,100154157,URN:NBN:no-nb_digibok_2013062106085,Vis element,Piranda hestekatt,"Røsth , Gro / Andersson , Rune Johan",,Oslo,1984,Aschehoug,nno,angst / billedbøker / katter,839.823,fiction,Skjønnlitteratur,,,,,,,
9983,100172200,URN:NBN:no-nb_digibok_2013100306001,Vis element,Hærverk : skodespel,"Belsvik , Rune",,Oslo,1984,Cappelen,nno,skjønnlitteratur/voksen / barnebøker / skuespill / barn / arbeidsledighet / ungdomsbøker / skodespel,839.822,drama,Skjønnlitteratur,,,,,,,
9984,100176938,URN:NBN:no-nb_digibok_2013102407125,Vis element,Dei kallar meg Kvisa,"Bratlund , Bente / Eide , Mia Brambani .",,Oslo,1984,Luther,nno,skjønnlitteratur/barn-ungdom / ungdomslitteratur / barnebøkertro / skolemiljø,839.823,fiction,Skjønnlitteratur,,,,,,,
9985,100181586,URN:NBN:no-nb_digibok_2013120306034,Vis element,Norske barnerim og regler,"Cappelen , Bodil",,Oslo,1984,Aschehoug,nno,rim / regler / dikt / barnerim / barnesanger / barnedikt / barnepoesi / barnebøker,398.8,,Skjønn,Skjønn,,,,,,
9986,100181765,URN:NBN:no-nb_digibok_2013120605088,Vis element,Snøstormen,"Sund , Torvald / Øyen , Wenche",,,1984,Samlaget,nno,Bokillustrasjoner / Snø / Motiv / snø / billedbøker / vinter / årstider / størm / nynorsk,839.823,fiction,Skjønnlitteratur,,,,,,,
9987,100195041,URN:NBN:no-nb_digibok_2014031406022,Vis element,Operasjon Morgonsol,"Donner , John / Hansen , Øyvind .",,Oslo,1984,Samlaget,nno,skjønnlitteratur/barn-ungdom / barnebøker / kriminallitteratur,839.823,fiction,Skjønnlitteratur,,,,,,,
9988,100227576,URN:NBN:no-nb_digibok_2014092208028,Vis element,Mellom folk og dyr,"Bø , Ingeborg L.",,Elnesvågen,1984,Møre forlag,nno,,839.823,fiction,Skjønnlitteratur,,,,,,,
9989,100299424,URN:NBN:no-nb_digibok_2016062108228,Vis element,Smørbukk den eldre : teikneserien Smørbukk i Norsk barneblad frå 4/11-1950 til 31/12-1952,"Dybvad , Øyvind / Norheim , Olav / Nilssen , Jens R. / Nilssen , Jens Richard",,[Larvik],1984,Norsk barneblad,nno,tegneserier,741.59481,fiction,Skjønnlitteratur,,,,,,,
9990,100437344,URN:NBN:no-nb_digibok_2021031258004,Vis element,Landet der alt er annleis : av Tor Åge Bringsværd,,,[Oslo],1984,Riksteatret,nno,teaterforestilling / barn,,tekst,Skjønn,Skjønn,,,,,,
9991,100228020,URN:NBN:no-nb_digibok_2014100106093,Vis element,Riddar av søppelkassa,"Reuter , Bjarne / Morisse , Tor / Moe , Ingvar",,[Stabekk],1984,Bokklubbens barn,nno / dan,,839.813,fiction,Skjønnlitteratur,,,,,,,
9992,100142332,URN:NBN:no-nb_digibok_2013031908005,Vis element,Tom Sawyer og eventyra hans,"Twain , Mark / Sanden , Solveig Muren / Osen , Olav",,[Larvik],1984,Norsk barneblad,nno / eng,,813,fiction,Skjønnlitteratur,,,,,,,
9993,100264366,URN:NBN:no-nb_digibok_2015072308411,Vis element,Ein mann til mamma,"Nöstlinger , Christine / Magnussen , Freda / Eskeland , Ivar",,[Stabekk],1984,Bokklubbens barn,nno / ger,,833,fiction,Skjønnlitteratur,,,,,,,
9994,100298710,URN:NBN:no-nb_digibok_2016062048018,Vis element,Ein katt blir født,"Fischer-Nagel , Heiderose / Fischer-Nagel , Andreas / Midtbø , Hanna",,Oslo,1984,Samlaget,nno / ger,Pattedyr / billedbøker / katter,599.74,,Faglitteratur,,,,,,,
9995,100434760,URN:NBN:no-nb_digibok_2008091504058,Vis element,Himmelriks-hytta,"Ármann Kr . Einarsson / Hildremyr , Asbjørn . / Halldorsson , Petur . / Magnussen , Freda",,[Larvik],1984,Norsk barneblad,nno / ice,barnelitteratur,839.69 / 839.693,fiction,Skjønnlitteratur,,,,,,,
9996,100127585,URN:NBN:no-nb_digibok_2012112707052,Vis element,Den gule veska,"Nunes , Lygia Bojunga / Steinnes , Svanaug / Thorne , Kaja",,Oslo,1984,Samlaget,nno / por,,869.3,fiction,Skjønnlitteratur,,,,,,,
9997,100111295,URN:NBN:no-nb_digibok_2012092606071,Vis element,Pappa Pellerins dotter,"Gripe , Maria / Takvam , Marie / Gripe , Harald",,[Stabekk],1984,Bokklubbens barn,nno / swe,,839.73,fiction,Skjønnlitteratur,,,,,,,
